Distance from 5'-end,AT_2
0,32.28775078050767
1,32.4742880412651
2,32.48895887063934
3,32.67836568481064
4,32.588757974752276
5,34.92122980860594
6,35.78833446450387
7,35.80156915976653
8,34.39000407221393
9,35.222041536582054
10,35.98539704085788
11,35.06924664042351
12,36.994184878512286
13,36.95095425546355
14,37.00819600923035
15,36.96177820008145
16,36.97742093117959
17,37.04418080629836
18,37.093788516356724
19,37.023124745486626
20,37.12574996606488
21,37.05485000678702
22,37.479571060133026
23,37.39915840912176
24,37.518941224378985
25,37.81606081172798
26,37.82622234288041
27,37.77641102212569
28,37.79848785122845
29,37.77063662277725
30,37.86413465454052
31,37.557597393783084
32,37.860396362155555
33,37.820754716981135
34,37.44017374779422
35,35.024647753495316
36,36.08212569566988
37,36.78915162209855
38,36.910194108863855
39,37.28247319125831
40,37.66223157323198
41,37.77857743993484
42,37.73508891000407
43,37.74456902402606
44,37.570826659427176
45,37.37796932265508
46,37.71571874575811
47,37.70769919913126
48,37.76324962671372
49,37.38188679245283
50,37.63802633365006
51,37.45754852721596
52,37.47706257635401
53,37.33041400841591
54,37.50149314510656
55,37.44465589792317
56,37.4491950590471
57,37.2040314917877
58,37.319796389303654
59,37.16805483914755
60,36.58722410750645
61,37.30206325505633
62,37.34151214877155
63,37.70753902538347
64,37.66059182842405
65,37.37341115786616
66,37.50301886792453
67,37.4646151757839
68,37.605885706529115
69,37.526415094339626
70,37.4513533324284
71,37.546596986561696
72,37.45191258314104
73,37.50227772498982
74,37.75961992670015
