Compared Sample,HP4.0.4,HP0.0.4,HP0.4.4,HP0.6.4,HP0.10.4
HP4.0.4,1.0,0.000943794174641961,0.0001810992072567115,0.00018728114044481306,0.0001905790526593562
HP0.0.4,0.000943794174641961,1.0,0.0002674078482917471,0.0002940294412858365,0.0003118408666440748
HP0.4.4,0.0001810992072567137,0.0002674078482917471,1.0,0.15059417976497794,0.06165424523658582
HP0.6.4,0.00018728114044481533,0.0002940294412858365,0.150594179764978,1.0,0.38818170474167407
HP0.10.4,0.00019057905265935384,0.00031184086664407895,0.06165424523658582,0.38818170474167407,1.0
