Distance from 5'-end,HP0.6.4.GC_2
0,32.55502709767706
1,32.57875159252487
2,32.857818059397054
3,32.87183557882091
4,32.83397474404082
5,34.77260395144202
6,34.87231416142426
7,34.79683673402029
8,34.824030127600025
9,34.897893576431294
10,34.24362164909663
11,35.441781251444
12,37.18701687911334
13,37.147743400510926
14,37.158463650826135
15,37.045303619404706
16,37.19459828766445
17,37.06445022410868
18,37.137736073246245
19,37.021641835380784
20,37.094525015017595
21,37.02268151482946
22,37.55922542230789
23,37.44103202212702
24,37.61642429483329
25,37.65223547584313
26,37.632755513601644
27,37.55897127844266
28,37.576751447299806
29,37.51042980018351
30,37.59595086111863
31,37.53125969542343
32,37.61832872353768
33,37.58078144287704
34,37.445451484926295
35,37.40982843638812
36,37.423007611113675
37,37.4902996257154
38,37.415020232492125
39,37.359963429687966
40,37.39195915214966
41,37.418155773686536
42,37.368026721412114
43,37.28418895101294
44,37.32826145792764
45,37.5046901095129
46,37.554439596274314
47,37.4726646819241
48,37.54522440573243
49,37.54287440012146
50,37.52673461439444
51,37.552135798638844
52,37.54102278053192
53,37.53794334902204
54,37.4976995029342
55,37.4736086448521
56,37.424789918739975
57,37.536930074130794
58,37.5171926674544
59,37.488705450560765
60,37.42809378898798
61,37.4809491118167
62,37.43353972895722
63,37.46178600426433
64,37.50390127335978
65,37.431235931321744
66,37.559641294087356
67,37.592501765804776
68,37.5136445550502
69,37.49819788895563
70,37.37633095472278
71,37.36168962762973
72,37.57231218108245
73,37.520859600367025
74,37.55336030998951
75,37.02531206886309
