Distance from 5'-end,HPSA0.6.4_2
0,30.45852689521097
1,30.933824443615567
2,31.34239259435082
3,31.74246097679518
4,31.746343517231246
5,33.08023916901202
6,34.36429475659241
7,33.81748951657568
8,32.74501260271495
9,32.46008104167373
10,34.014007098210755
11,32.20247420116872
12,35.33522656629706
13,35.554482723542776
14,35.6386213873159
15,35.75401817503645
16,35.723378883953295
17,36.01098922835215
18,35.762752478157175
19,35.74973438224091
20,35.47245487323816
21,35.56428514914155
22,35.76427554169069
23,35.367804301877406
24,35.49929356978965
25,36.18579397104201
26,35.98133046240096
27,36.141204096164934
28,36.31155832852961
29,36.08203915318798
30,35.898697907836286
31,36.01987894611916
32,35.65268217422265
33,36.29764165338578
34,36.400432900432904
35,35.74988697116635
36,35.65729657635663
37,36.15261435692245
38,35.954378737015816
39,35.977026889559525
40,36.404456726911036
41,36.819069094526014
42,36.81845026166175
43,36.26043821278808
44,35.36424954505895
45,35.492825494783716
46,36.09013766911939
47,36.34975642286347
48,36.20056966532162
49,36.25451832762538
50,36.34975359714263
51,36.341369683406235
52,36.45214076610944
53,36.2488188486883
54,35.96162671097397
55,36.09544154713868
56,36.17867032880088
57,35.4526776530693
58,36.08450318176167
59,36.200900274660064
60,35.75212776779357
61,36.0874617114826
62,35.8439071807218
63,35.96227097532581
64,35.922165519424006
65,36.21986086150577
66,36.04131203870107
67,35.70812846857233
68,35.90127779096448
69,35.95326822872515
70,36.14648254269664
71,36.01836435974817
72,35.98865755654268
73,36.2542470584246
74,36.59241520011755
75,36.19151040430414
